"ID" "Sp" "HS.l" "nu.l" "prep" "ch.l" "IG" "MD.l" "MD.b" "nu.b" "orb" "bite" "pstm"
"70.4.264" 1 63.93 27.6 14.16 37.4 33.74 46.03 19.58 22.98 16.47 17.5 42.4
"86.9.702" 1 58.48 24.13 16.44 34.74 34.89 43.54 33.7 18.36 16.43 15.62 40.52
"94.5.1" 1 50.5 20.47 12.34 30.15 29.64 37 26.4 15.7 16.47 13.61 34.91
"94.12.2" 1 48 19 12.5 26 24.76 33.78 25.7 14.67 15.5 11.63 30.98
"86.9.675" 1 46 19.35 12.21 30.29 23.68 42.4 30.41 16.91 12.9 14.28 32.8
"94.8.1." 1 42.8 17.17 10.9 24.01 23.2 33.08 20.61 12.32 12.76 9.72 24.51
"91.4.3" 1 36.25 12.77 9.32 18.66 18.33 21 15.67 9.33 12.83 8.76 19.19
"P50940" 1 53.9 21 13.7 37.4 34.7 42.6 26.3 11.5 16.2 16.6 34.3
"86.9.674" 1 53.47 21.58 12.49 25.11 32.75 41 27.8 16.59 15.53 15.16 38.23
"70.4.263" 2 59.11 22.5 15.55 30.48 37.24 47.83 33.25 21.14 16.11 16.62 38.8
"P50948" 2 65.8 24.3 16.7 24.9 41.5 47.21 36.2 17.92 18.2 18.5 42.4
"p50942" 2 64.8 24 15.4 36.94 40.8 45 36.5 17.65 16.4 20.2 41.9
"90.12.139" 2 64.59 27.62 15.97 37.11 38.4 43.37 35.15 24.17 16.43 19.68 43.75
"86.9.673" 2 62.72 24.99 15.43 37.26 37.31 45.07 30.16 12.96 16.32 16.24 37.68
"95.1.3" 2 54.36 21.98 11.5 33 32.97 39 28.57 16.45 16.42 14.98 35.24
"P50941" 2 55.5 19.9 12.9 38 33.3 42.8 29.3 12 16.4 16.2 33.3
"P50904" 2 45.3 16.2 10.9 28.5 27.6 30.8 24.2 10.6 14.1 13.9 27.4
