"Year" "Statsville" "Probiton"
1966 46 57
1967 18 43
1968 31 49
1969 32 60
1970 56 64
1971 34 50
1972 22 32
1973 30 33
1974 20 47
1975 29 38
1976 88 60
1977 56 47
1978 33 86
1979 27 68
1980 39 34
1981 35 56
1982 14 42
1983 20 43
1984 68 43
1985 52 51
1986 42 49
1987 73 58
1988 69 48
1989 30 54
1990 55 49
1991 46 76
1992 61 51
1993 37 39
1994 30 54
1995 46 67
1996 46 49
1997 30 74
1998 86 63
1999 75 51
2000 68 57
2001 32 35
2002 77 29
2003 32 54
2004 66 41
2005 49 46
2006 52 50
2007 46 18
2008 49 44
2009 59 52
2010 49 67
2011 31 42
2012 46 46
2013 35 56
2014 58 51
